Loc	XOR	
000000000000000000000000000000000000001	1000000	
000000000000000000000000000000000000010	0100000	
000000000000000000000000000000000000100	0010000	
000000000000000000000000000000000001000	0001000	
000000000000000000000000000000000010000	0000100	
000000000000000000000000000000000100000	0000010	
000000000000000000000000000000001000000	0000001	
000000000000000000000000000000010000000	1111001	
000000000000000000000000000000100000000	0101001	
000000000000000000000000000001000000000	0100101	
000000000000000000000000000010000000000	0010101	
000000000000000000000000000100000000000	1110101	
000000000000000000000000001000000000000	0001101	
000000000000000000000000010000000000000	1101101	
000000000000000000000000100000000000000	1011101	
000000000000000000000001000000000000000	1100010	
000000000000000000000010000000000000000	1010010	
000000000000000000000100000000000000000	0110010	
000000000000000000001000000000000000000	1001010	
000000000000000000010000000000000000000	0101010	
000000000000000000100000000000000000000	0011010	
000000000000000001000000000000000000000	1000110	
000000000000000010000000000000000000000	0010110	
000000000000000100000000000000000000000	0111000	
000000000000001000000000000000000000000	1101000	
000000000000010000000000000000000000000	1100100	
000000000000100000000000000000000000000	1010100	
000000000001000000000000000000000000000	0110100	
000000000010000000000000000000000000000	1001100	
000000000100000000000000000000000000000	0101100	
000000001000000000000000000000000000000	0011100	
000000010000000000000000000000000000000	0100011	
000000100000000000000000000000000000000	0010011	
000001000000000000000000000000000000000	1110011	
000010000000000000000000000000000000000	0001011	
000100000000000000000000000000000000000	1101011	
001000000000000000000000000000000000000	1011011	
010000000000000000000000000000000000000	0000111	
100000000000000000000000000000000000000	1010111	
