Loc	XOR	
00000000000000000000000000000000000000000001	000000000001	
00000000000000000000000000000000000000000010	000000000010	
00000000000000000000000000000000000000000100	000000000100	
00000000000000000000000000000000000000001000	000000001000	
00000000000000000000000000000000000000010000	000000010000	
00000000000000000000000000000000000000100000	000000100000	
00000000000000000000000000000000000001000000	000001000000	
00000000000000000000000000000000000010000000	000010000000	
00000000000000000000000000000000000100000000	000100000000	
00000000000000000000000000000000001000000000	001000000000	
00000000000000000000000000000000010000000000	010000000000	
00000000000000000000000000000000100000000000	100000000000	
00000000000000000000000000000001000000000000	001110010101	
00000000000000000000000000000010000000000000	011100101010	
00000000000000000000000000000100000000000000	111001010100	
00000000000000000000000000001000000000000000	111100111101	
00000000000000000000000000010000000000000000	110111101111	
00000000000000000000000000100000000000000000	100001001011	
00000000000000000000000001000000000000000000	001100000011	
00000000000000000000000010000000000000000000	011000000110	
00000000000000000000000100000000000000000000	110000001100	
00000000000000000000001000000000000000000000	101110001101	
00000000000000000000010000000000000000000000	010010001111	
00000000000000000000100000000000000000000000	100100011110	
00000000000000000001000000000000000000000000	000110101001	
00000000000000000010000000000000000000000000	001101010010	
00000000000000000100000000000000000000000000	011010100100	
00000000000000001000000000000000000000000000	110101001000	
00000000000000010000000000000000000000000000	100100000101	
00000000000000100000000000000000000000000000	000110011111	
00000000000001000000000000000000000000000000	001100111110	
00000000000010000000000000000000000000000000	011001111100	
00000000000100000000000000000000000000000000	110011111000	
00000000001000000000000000000000000000000000	101001100101	
00000000010000000000000000000000000000000000	011101011111	
00000000100000000000000000000000000000000000	111010111110	
00000001000000000000000000000000000000000000	111011101001	
00000010000000000000000000000000000000000000	111001000111	
00000100000000000000000000000000000000000000	111100011011	
00001000000000000000000000000000000000000000	110110100011	
00010000000000000000000000000000000000000000	100011010011	
00100000000000000000000000000000000000000000	001000110011	
01000000000000000000000000000000000000000000	010001100110	
10000000000000000000000000000000000000000000	100011001100	
00000000000000000000000000000000000000000011	000000000011	
00000000000000000000000000000000000000000101	000000000101	
00000000000000000000000000000000000000001001	000000001001	
00000000000000000000000000000000000000010001	000000010001	
00000000000000000000000000000000000000100001	000000100001	
00000000000000000000000000000000000001000001	000001000001	
00000000000000000000000000000000000010000001	000010000001	
00000000000000000000000000000000000100000001	000100000001	
00000000000000000000000000000000001000000001	001000000001	
00000000000000000000000000000000010000000001	010000000001	
00000000000000000000000000000000100000000001	100000000001	
00000000000000000000000000000001000000000001	001110010100	
00000000000000000000000000000010000000000001	011100101011	
00000000000000000000000000000100000000000001	111001010101	
00000000000000000000000000001000000000000001	111100111100	
00000000000000000000000000010000000000000001	110111101110	
00000000000000000000000000100000000000000001	100001001010	
00000000000000000000000001000000000000000001	001100000010	
00000000000000000000000010000000000000000001	011000000111	
00000000000000000000000100000000000000000001	110000001101	
00000000000000000000001000000000000000000001	101110001100	
00000000000000000000010000000000000000000001	010010001110	
00000000000000000000100000000000000000000001	100100011111	
00000000000000000001000000000000000000000001	000110101000	
00000000000000000010000000000000000000000001	001101010011	
00000000000000000100000000000000000000000001	011010100101	
00000000000000001000000000000000000000000001	110101001001	
00000000000000010000000000000000000000000001	100100000100	
00000000000000100000000000000000000000000001	000110011110	
00000000000001000000000000000000000000000001	001100111111	
00000000000010000000000000000000000000000001	011001111101	
00000000000100000000000000000000000000000001	110011111001	
00000000001000000000000000000000000000000001	101001100100	
00000000010000000000000000000000000000000001	011101011110	
00000000100000000000000000000000000000000001	111010111111	
00000001000000000000000000000000000000000001	111011101000	
00000010000000000000000000000000000000000001	111001000110	
00000100000000000000000000000000000000000001	111100011010	
00001000000000000000000000000000000000000001	110110100010	
00010000000000000000000000000000000000000001	100011010010	
00100000000000000000000000000000000000000001	001000110010	
01000000000000000000000000000000000000000001	010001100111	
10000000000000000000000000000000000000000001	100011001101	
00000000000000000000000000000000000000000110	000000000110	
00000000000000000000000000000000000000001010	000000001010	
00000000000000000000000000000000000000010010	000000010010	
00000000000000000000000000000000000000100010	000000100010	
00000000000000000000000000000000000001000010	000001000010	
00000000000000000000000000000000000010000010	000010000010	
00000000000000000000000000000000000100000010	000100000010	
00000000000000000000000000000000001000000010	001000000010	
00000000000000000000000000000000010000000010	010000000010	
00000000000000000000000000000000100000000010	100000000010	
00000000000000000000000000000001000000000010	001110010111	
00000000000000000000000000000010000000000010	011100101000	
00000000000000000000000000000100000000000010	111001010110	
00000000000000000000000000001000000000000010	111100111111	
00000000000000000000000000010000000000000010	110111101101	
00000000000000000000000000100000000000000010	100001001001	
00000000000000000000000001000000000000000010	001100000001	
00000000000000000000000010000000000000000010	011000000100	
00000000000000000000000100000000000000000010	110000001110	
00000000000000000000001000000000000000000010	101110001111	
00000000000000000000010000000000000000000010	010010001101	
00000000000000000000100000000000000000000010	100100011100	
00000000000000000001000000000000000000000010	000110101011	
00000000000000000010000000000000000000000010	001101010000	
00000000000000000100000000000000000000000010	011010100110	
00000000000000001000000000000000000000000010	110101001010	
00000000000000010000000000000000000000000010	100100000111	
00000000000000100000000000000000000000000010	000110011101	
00000000000001000000000000000000000000000010	001100111100	
00000000000010000000000000000000000000000010	011001111110	
00000000000100000000000000000000000000000010	110011111010	
00000000001000000000000000000000000000000010	101001100111	
00000000010000000000000000000000000000000010	011101011101	
00000000100000000000000000000000000000000010	111010111100	
00000001000000000000000000000000000000000010	111011101011	
00000010000000000000000000000000000000000010	111001000101	
00000100000000000000000000000000000000000010	111100011001	
00001000000000000000000000000000000000000010	110110100001	
00010000000000000000000000000000000000000010	100011010001	
00100000000000000000000000000000000000000010	001000110001	
01000000000000000000000000000000000000000010	010001100100	
10000000000000000000000000000000000000000010	100011001110	
00000000000000000000000000000000000000001100	000000001100	
00000000000000000000000000000000000000010100	000000010100	
00000000000000000000000000000000000000100100	000000100100	
00000000000000000000000000000000000001000100	000001000100	
00000000000000000000000000000000000010000100	000010000100	
00000000000000000000000000000000000100000100	000100000100	
00000000000000000000000000000000001000000100	001000000100	
00000000000000000000000000000000010000000100	010000000100	
00000000000000000000000000000000100000000100	100000000100	
00000000000000000000000000000001000000000100	001110010001	
00000000000000000000000000000010000000000100	011100101110	
00000000000000000000000000000100000000000100	111001010000	
00000000000000000000000000001000000000000100	111100111001	
00000000000000000000000000010000000000000100	110111101011	
00000000000000000000000000100000000000000100	100001001111	
00000000000000000000000001000000000000000100	001100000111	
00000000000000000000000010000000000000000100	011000000010	
00000000000000000000000100000000000000000100	110000001000	
00000000000000000000001000000000000000000100	101110001001	
00000000000000000000010000000000000000000100	010010001011	
00000000000000000000100000000000000000000100	100100011010	
00000000000000000001000000000000000000000100	000110101101	
00000000000000000010000000000000000000000100	001101010110	
00000000000000000100000000000000000000000100	011010100000	
00000000000000001000000000000000000000000100	110101001100	
00000000000000010000000000000000000000000100	100100000001	
00000000000000100000000000000000000000000100	000110011011	
00000000000001000000000000000000000000000100	001100111010	
00000000000010000000000000000000000000000100	011001111000	
00000000000100000000000000000000000000000100	110011111100	
00000000001000000000000000000000000000000100	101001100001	
00000000010000000000000000000000000000000100	011101011011	
00000000100000000000000000000000000000000100	111010111010	
00000001000000000000000000000000000000000100	111011101101	
00000010000000000000000000000000000000000100	111001000011	
00000100000000000000000000000000000000000100	111100011111	
00001000000000000000000000000000000000000100	110110100111	
00010000000000000000000000000000000000000100	100011010111	
00100000000000000000000000000000000000000100	001000110111	
01000000000000000000000000000000000000000100	010001100010	
10000000000000000000000000000000000000000100	100011001000	
00000000000000000000000000000000000000011000	000000011000	
00000000000000000000000000000000000000101000	000000101000	
00000000000000000000000000000000000001001000	000001001000	
00000000000000000000000000000000000010001000	000010001000	
00000000000000000000000000000000000100001000	000100001000	
00000000000000000000000000000000001000001000	001000001000	
00000000000000000000000000000000010000001000	010000001000	
00000000000000000000000000000000100000001000	100000001000	
00000000000000000000000000000001000000001000	001110011101	
00000000000000000000000000000010000000001000	011100100010	
00000000000000000000000000000100000000001000	111001011100	
00000000000000000000000000001000000000001000	111100110101	
00000000000000000000000000010000000000001000	110111100111	
00000000000000000000000000100000000000001000	100001000011	
00000000000000000000000001000000000000001000	001100001011	
00000000000000000000000010000000000000001000	011000001110	
00000000000000000000000100000000000000001000	110000000100	
00000000000000000000001000000000000000001000	101110000101	
00000000000000000000010000000000000000001000	010010000111	
00000000000000000000100000000000000000001000	100100010110	
00000000000000000001000000000000000000001000	000110100001	
00000000000000000010000000000000000000001000	001101011010	
00000000000000000100000000000000000000001000	011010101100	
00000000000000001000000000000000000000001000	110101000000	
00000000000000010000000000000000000000001000	100100001101	
00000000000000100000000000000000000000001000	000110010111	
00000000000001000000000000000000000000001000	001100110110	
00000000000010000000000000000000000000001000	011001110100	
00000000000100000000000000000000000000001000	110011110000	
00000000001000000000000000000000000000001000	101001101101	
00000000010000000000000000000000000000001000	011101010111	
00000000100000000000000000000000000000001000	111010110110	
00000001000000000000000000000000000000001000	111011100001	
00000010000000000000000000000000000000001000	111001001111	
00000100000000000000000000000000000000001000	111100010011	
00001000000000000000000000000000000000001000	110110101011	
00010000000000000000000000000000000000001000	100011011011	
00100000000000000000000000000000000000001000	001000111011	
01000000000000000000000000000000000000001000	010001101110	
10000000000000000000000000000000000000001000	100011000100	
00000000000000000000000000000000000000110000	000000110000	
00000000000000000000000000000000000001010000	000001010000	
00000000000000000000000000000000000010010000	000010010000	
00000000000000000000000000000000000100010000	000100010000	
00000000000000000000000000000000001000010000	001000010000	
00000000000000000000000000000000010000010000	010000010000	
00000000000000000000000000000000100000010000	100000010000	
00000000000000000000000000000001000000010000	001110000101	
00000000000000000000000000000010000000010000	011100111010	
00000000000000000000000000000100000000010000	111001000100	
00000000000000000000000000001000000000010000	111100101101	
00000000000000000000000000010000000000010000	110111111111	
00000000000000000000000000100000000000010000	100001011011	
00000000000000000000000001000000000000010000	001100010011	
00000000000000000000000010000000000000010000	011000010110	
00000000000000000000000100000000000000010000	110000011100	
00000000000000000000001000000000000000010000	101110011101	
00000000000000000000010000000000000000010000	010010011111	
00000000000000000000100000000000000000010000	100100001110	
00000000000000000001000000000000000000010000	000110111001	
00000000000000000010000000000000000000010000	001101000010	
00000000000000000100000000000000000000010000	011010110100	
00000000000000001000000000000000000000010000	110101011000	
00000000000000010000000000000000000000010000	100100010101	
00000000000000100000000000000000000000010000	000110001111	
00000000000001000000000000000000000000010000	001100101110	
00000000000010000000000000000000000000010000	011001101100	
00000000000100000000000000000000000000010000	110011101000	
00000000001000000000000000000000000000010000	101001110101	
00000000010000000000000000000000000000010000	011101001111	
00000000100000000000000000000000000000010000	111010101110	
00000001000000000000000000000000000000010000	111011111001	
00000010000000000000000000000000000000010000	111001010111	
00000100000000000000000000000000000000010000	111100001011	
00001000000000000000000000000000000000010000	110110110011	
00010000000000000000000000000000000000010000	100011000011	
00100000000000000000000000000000000000010000	001000100011	
01000000000000000000000000000000000000010000	010001110110	
10000000000000000000000000000000000000010000	100011011100	
00000000000000000000000000000000000001100000	000001100000	
00000000000000000000000000000000000010100000	000010100000	
00000000000000000000000000000000000100100000	000100100000	
00000000000000000000000000000000001000100000	001000100000	
00000000000000000000000000000000010000100000	010000100000	
00000000000000000000000000000000100000100000	100000100000	
00000000000000000000000000000001000000100000	001110110101	
00000000000000000000000000000010000000100000	011100001010	
00000000000000000000000000000100000000100000	111001110100	
00000000000000000000000000001000000000100000	111100011101	
00000000000000000000000000010000000000100000	110111001111	
00000000000000000000000000100000000000100000	100001101011	
00000000000000000000000001000000000000100000	001100100011	
00000000000000000000000010000000000000100000	011000100110	
00000000000000000000000100000000000000100000	110000101100	
00000000000000000000001000000000000000100000	101110101101	
00000000000000000000010000000000000000100000	010010101111	
00000000000000000000100000000000000000100000	100100111110	
00000000000000000001000000000000000000100000	000110001001	
00000000000000000010000000000000000000100000	001101110010	
00000000000000000100000000000000000000100000	011010000100	
00000000000000001000000000000000000000100000	110101101000	
00000000000000010000000000000000000000100000	100100100101	
00000000000000100000000000000000000000100000	000110111111	
00000000000001000000000000000000000000100000	001100011110	
00000000000010000000000000000000000000100000	011001011100	
00000000000100000000000000000000000000100000	110011011000	
00000000001000000000000000000000000000100000	101001000101	
00000000010000000000000000000000000000100000	011101111111	
00000000100000000000000000000000000000100000	111010011110	
00000001000000000000000000000000000000100000	111011001001	
00000010000000000000000000000000000000100000	111001100111	
00000100000000000000000000000000000000100000	111100111011	
00001000000000000000000000000000000000100000	110110000011	
00010000000000000000000000000000000000100000	100011110011	
00100000000000000000000000000000000000100000	001000010011	
01000000000000000000000000000000000000100000	010001000110	
10000000000000000000000000000000000000100000	100011101100	
00000000000000000000000000000000000011000000	000011000000	
00000000000000000000000000000000000101000000	000101000000	
00000000000000000000000000000000001001000000	001001000000	
00000000000000000000000000000000010001000000	010001000000	
00000000000000000000000000000000100001000000	100001000000	
00000000000000000000000000000001000001000000	001111010101	
00000000000000000000000000000010000001000000	011101101010	
00000000000000000000000000000100000001000000	111000010100	
00000000000000000000000000001000000001000000	111101111101	
00000000000000000000000000010000000001000000	110110101111	
00000000000000000000000000100000000001000000	100000001011	
00000000000000000000000001000000000001000000	001101000011	
00000000000000000000000010000000000001000000	011001000110	
00000000000000000000000100000000000001000000	110001001100	
00000000000000000000001000000000000001000000	101111001101	
00000000000000000000010000000000000001000000	010011001111	
00000000000000000000100000000000000001000000	100101011110	
00000000000000000001000000000000000001000000	000111101001	
00000000000000000010000000000000000001000000	001100010010	
00000000000000000100000000000000000001000000	011011100100	
00000000000000001000000000000000000001000000	110100001000	
00000000000000010000000000000000000001000000	100101000101	
00000000000000100000000000000000000001000000	000111011111	
00000000000001000000000000000000000001000000	001101111110	
00000000000010000000000000000000000001000000	011000111100	
00000000000100000000000000000000000001000000	110010111000	
00000000001000000000000000000000000001000000	101000100101	
00000000010000000000000000000000000001000000	011100011111	
00000000100000000000000000000000000001000000	111011111110	
00000001000000000000000000000000000001000000	111010101001	
00000010000000000000000000000000000001000000	111000000111	
00000100000000000000000000000000000001000000	111101011011	
00001000000000000000000000000000000001000000	110111100011	
00010000000000000000000000000000000001000000	100010010011	
00100000000000000000000000000000000001000000	001001110011	
01000000000000000000000000000000000001000000	010000100110	
10000000000000000000000000000000000001000000	100010001100	
00000000000000000000000000000000000110000000	000110000000	
00000000000000000000000000000000001010000000	001010000000	
00000000000000000000000000000000010010000000	010010000000	
00000000000000000000000000000000100010000000	100010000000	
00000000000000000000000000000001000010000000	001100010101	
00000000000000000000000000000010000010000000	011110101010	
00000000000000000000000000000100000010000000	111011010100	
00000000000000000000000000001000000010000000	111110111101	
00000000000000000000000000010000000010000000	110101101111	
00000000000000000000000000100000000010000000	100011001011	
00000000000000000000000001000000000010000000	001110000011	
00000000000000000000000010000000000010000000	011010000110	
00000000000000000000000100000000000010000000	110010001100	
00000000000000000000001000000000000010000000	101100001101	
00000000000000000000010000000000000010000000	010000001111	
00000000000000000000100000000000000010000000	100110011110	
00000000000000000001000000000000000010000000	000100101001	
00000000000000000010000000000000000010000000	001111010010	
00000000000000000100000000000000000010000000	011000100100	
00000000000000001000000000000000000010000000	110111001000	
00000000000000010000000000000000000010000000	100110000101	
00000000000000100000000000000000000010000000	000100011111	
00000000000001000000000000000000000010000000	001110111110	
00000000000010000000000000000000000010000000	011011111100	
00000000000100000000000000000000000010000000	110001111000	
00000000001000000000000000000000000010000000	101011100101	
00000000010000000000000000000000000010000000	011111011111	
00000000100000000000000000000000000010000000	111000111110	
00000001000000000000000000000000000010000000	111001101001	
00000010000000000000000000000000000010000000	111011000111	
00000100000000000000000000000000000010000000	111110011011	
00001000000000000000000000000000000010000000	110100100011	
00010000000000000000000000000000000010000000	100001010011	
00100000000000000000000000000000000010000000	001010110011	
01000000000000000000000000000000000010000000	010011100110	
10000000000000000000000000000000000010000000	100001001100	
00000000000000000000000000000000001100000000	001100000000	
00000000000000000000000000000000010100000000	010100000000	
00000000000000000000000000000000100100000000	100100000000	
00000000000000000000000000000001000100000000	001010010101	
00000000000000000000000000000010000100000000	011000101010	
00000000000000000000000000000100000100000000	111101010100	
00000000000000000000000000001000000100000000	111000111101	
00000000000000000000000000010000000100000000	110011101111	
00000000000000000000000000100000000100000000	100101001011	
