key	high	low
0	255	255
1	0	255
2	1	255
3	1	0
4	2	255
5	2	0
6	2	1
7	255	255
8	3	255
9	3	0
10	3	1
11	255	255
12	3	2
13	255	255
14	255	255
15	255	255
16	4	255
17	4	0
18	4	1
19	37	14
20	4	2
21	255	255
22	255	255
23	255	255
24	4	3
25	255	255
26	255	255
27	28	23
28	255	255
29	255	255
30	255	255
31	43	40
32	5	255
33	5	0
34	5	1
35	255	255
36	5	2
37	255	255
38	38	15
39	255	255
40	5	3
41	255	255
42	255	255
43	255	255
44	255	255
45	255	255
46	255	255
47	255	255
48	5	4
49	255	255
50	255	255
51	41	9
52	255	255
53	255	255
54	29	24
55	255	255
56	255	255
57	255	255
58	255	255
59	255	255
60	255	255
61	30	18
62	255	255
63	255	255
64	6	255
65	6	0
66	6	1
67	255	255
68	6	2
69	255	255
70	255	255
71	255	255
72	6	3
73	255	255
74	255	255
75	17	11
76	39	16
77	255	255
78	255	255
79	255	255
80	6	4
81	25	18
82	255	255
83	255	255
84	255	255
85	255	255
86	255	255
87	36	35
88	255	255
89	255	255
90	255	255
91	255	255
92	255	255
93	255	255
94	255	255
95	255	255
96	6	5
97	255	255
98	255	255
99	255	255
100	255	255
101	255	255
102	42	10
103	255	255
104	255	255
105	255	255
106	255	255
107	255	255
108	30	25
109	255	255
110	255	255
111	255	255
112	255	255
113	255	255
114	255	255
115	255	255
116	255	255
117	34	13
118	255	255
119	255	255
120	255	255
121	255	255
122	31	19
123	255	255
124	255	255
125	255	255
126	255	255
127	255	255
128	7	255
129	7	0
130	7	1
131	255	255
132	7	2
133	255	255
134	255	255
135	43	17
136	7	3
137	255	255
138	255	255
139	255	255
140	255	255
141	255	255
142	255	255
143	22	10
144	7	4
145	255	255
146	255	255
147	255	255
148	255	255
149	255	255
150	18	12
151	255	255
152	40	17
153	255	255
154	255	255
155	255	255
156	255	255
157	255	255
158	255	255
159	29	8
160	7	5
161	255	255
162	26	19
163	255	255
164	255	255
165	255	255
166	255	255
167	27	16
168	255	255
169	24	8
170	255	255
171	30	12
172	255	255
173	255	255
174	37	36
175	255	255
176	255	255
177	255	255
178	255	255
179	255	255
180	255	255
181	255	255
182	255	255
183	255	255
184	255	255
185	255	255
186	255	255
187	255	255
188	255	255
189	36	14
190	255	255
191	255	255
192	7	6
