key	high	low
0	255	255
1	38	255
2	37	255
3	255	255
4	36	255
5	255	255
6	255	255
7	30	255
8	35	255
9	255	255
10	255	255
11	27	255
12	255	255
13	5	255
14	255	255
15	255	255
16	34	255
17	255	255
18	255	255
19	25	255
20	255	255
21	3	255
22	15	255
23	255	255
24	255	255
25	255	255
26	13	255
27	255	255
28	23	255
29	255	255
30	255	255
31	255	255
32	33	255
33	255	255
34	255	255
35	24	255
36	255	255
37	2	255
38	255	255
39	255	255
40	255	255
41	1	255
42	12	255
43	255	255
44	22	255
45	255	255
46	255	255
47	255	255
48	255	255
49	255	255
50	10	255
51	255	255
52	20	255
53	255	255
54	255	255
55	255	255
56	16	255
57	255	255
58	255	255
59	255	255
60	255	255
61	255	255
62	255	255
63	255	255
64	32	255
65	255	255
66	255	255
67	255	255
68	255	255
69	255	255
70	14	255
71	255	255
72	255	255
73	255	255
74	11	255
75	255	255
76	21	255
77	255	255
78	255	255
79	255	255
80	255	255
81	255	255
82	9	255
83	255	255
84	19	255
85	255	255
86	255	255
87	31	255
88	255	255
89	255	255
90	255	255
91	29	255
92	255	255
93	7	255
94	255	255
95	255	255
96	255	255
97	255	255
98	8	255
99	255	255
100	18	255
101	255	255
102	255	255
103	255	255
104	17	255
105	255	255
106	255	255
107	28	255
108	255	255
109	6	255
110	255	255
111	255	255
112	255	255
113	255	255
114	255	255
115	26	255
116	255	255
117	4	255
118	255	255
119	255	255
120	255	255
121	0	255
122	255	255
123	255	255
124	255	255
125	255	255
126	255	255
127	255	255
